lambda,estimate,std.error,conf.high,conf.low,nzero,protein
0.00259193374089331,0.055664545886807,0.000140535067218263,0.0558050809540252,0.0555240108195887,154,Cbf1
0.00236167349102108,0.0555637879857572,0.000140366777655542,0.0557041547634127,0.0554234212081016,169,Cbf1
0.00215186892712365,0.055470584780196,0.000140011593290866,0.0556105963734869,0.0553305731869052,185,Cbf1
0.00196070282243727,0.0553779806627752,0.000139987938167886,0.0555179686009431,0.0552379927246073,195,Cbf1
0.00178651938761536,0.0552943223006847,0.00013963848763769,0.0554339607883223,0.055154683813047,209,Cbf1
0.00162780992907337,0.0552191208629874,0.000139505869463437,0.0553586267324508,0.0550796149935239,222,Cbf1
0.00148319978140665,0.0551485140916696,0.000139403386500923,0.0552879174781705,0.0550091107051687,237,Cbf1
0.00135143640069637,0.0550860106066579,0.00013925492734143,0.0552252655339993,0.0549467556793164,239,Cbf1
0.00123137851557331,0.0550310816869553,0.00013910720104378,0.0551701888879991,0.0548919744859115,255,Cbf1
0.00112198624207117,0.0549819553589208,0.000139109317201342,0.0551210646761222,0.0548428460417195,271,Cbf1
0.00102231207664923,0.0549381831420406,0.000139212516156963,0.0550773956581976,0.0547989706258836,279,Cbf1
0.000931492689369862,0.0548994418517513,0.000139400244601997,0.0550388420963533,0.0547600416071493,295,Cbf1
0.000848741446147673,0.0548648110516453,0.000139579659405548,0.0550043907110509,0.0547252313922398,310,Cbf1
0.00077334159530136,0.0548344877343881,0.0001397669638547,0.0549742546982428,0.0546947207705335,320,Cbf1
0.000704640059393536,0.0548080478082955,0.000139953498087144,0.0549480013063827,0.0546680943102084,332,Cbf1
0.000642041778586396,0.0547858262669572,0.000140175644728739,0.0549260019116859,0.0546456506222285,345,Cbf1
0.000585004556518072,0.0547662230897906,0.000140222420204654,0.0549064455099952,0.0546260006695859,359,Cbf1
0.000533034364057126,0.0547493624611087,0.000140291749882985,0.0548896542109917,0.0546090707112257,366,Cbf1
0.000485681060258558,0.0547350631554957,0.000140372159283045,0.0548754353147788,0.0545946909962127,376,Cbf1
0.00044253449345828,0.0547230655362059,0.000140459322585444,0.0548635248587913,0.0545826062136204,384,Cbf1
0.000403220948735619,0.0547128177977285,0.000140536046760047,0.0548533538444886,0.0545722817509685,406,Cbf1
0.000367399910973449,0.0547041034935941,0.000140643209066529,0.0548447467026606,0.0545634602845276,427,Cbf1
0.000334761115479153,0.054696703389183,0.000140724623378278,0.0548374280125613,0.0545559787658047,448,Cbf1
0.000305021860620281,0.054690150418014,0.000140801946597243,0.0548309523646112,0.0545493484714168,467,Cbf1
0.000277924559198249,0.0546843364368793,0.000140864164519093,0.0548252006013984,0.0545434722723602,476,Cbf1
0.000253234507351259,0.0546793395659425,0.000140923335472154,0.0548202629014146,0.0545384162304703,484,Cbf1
0.000230737851661722,0.054675098571718,0.000140979504056737,0.0548160780757748,0.0545341190676613,491,Cbf1
0.000210239736860261,0.0546715146718409,0.000141036610219078,0.05481255128206,0.0545304780616218,496,Cbf1
0.000191562618082591,0.0546685020397638,0.00014109172971894,0.0548095937694828,0.0545274103100449,504,Cbf1
0.000174544723060832,0.0546659924376434,0.000141141698539052,0.0548071341361825,0.0545248507391044,507,Cbf1
0.000159038650929523,0.0546638974185849,0.000141188433082491,0.0548050858516674,0.0545227089855024,518,Cbf1
0.000144910095509833,0.0546621590278125,0.000141231851863091,0.0548033908796756,0.0545209271759494,532,Cbf1
0.000132036682013698,0.0546607192215998,0.000141275055350372,0.0548019942769501,0.0545194441662494,541,Cbf1
0.000120306907091946,0.0546595138014426,0.000141319661354151,0.0548008334627968,0.0545181941400885,549,Cbf1
0.000109619173045627,0.0546585058494629,0.000141358832209897,0.0547998646816728,0.054517147017253,553,Cbf1
9.98809078353547e-05,0.0546576743005706,0.000141397692511553,0.0547990719930822,0.0545162766080591,557,Cbf1
9.10077632665789e-05,0.054656990097249,0.000141436306211154,0.0547984264034601,0.0545155537910378,564,Cbf1
8.2922884405882e-05,0.0546564334728453,0.000141472118748995,0.0547979055915943,0.0545149613540963,571,Cbf1
7.55562439003096e-05,0.0546559797936106,0.000141504640139429,0.0547974844337501,0.0545144751534712,577,Cbf1
6.88440354339402e-05,0.0546556076867497,0.000141533361052475,0.0547971410478021,0.0545140743256972,589,Cbf1
6.27281210681014e-05,0.0546553014437099,0.000141558752211909,0.0547968601959218,0.054513742691498,601,Cbf1
5.71555276783573e-05,0.0546550465427691,0.000141581447759653,0.0547966279905288,0.0545134650950095,610,Cbf1
5.20779881266472e-05,0.0546548373837476,0.000141602106044416,0.054796439489792,0.0545132352777032,617,Cbf1
4.74515231944256e-05,0.0546546666439497,0.000141621415917957,0.0547962880598677,0.0545130452280317,623,Cbf1
